user_id,business_id,date,review_stars,text,average_stars,user_name,user_review_count,categories,business_name,full_address,city,state,type,latitude,longitude,attributes.Good For.latenight,attributes.Alcohol
--0HEXd4W6bJI8k7E0RxTA,ZvvTPVqChi-mQd1JV6VM5w,2013-07-13,5.0,"Friendly people, friendly bartenders. good atmosphere.  Very easy going.  Not a pretentious place.  Love it when I am in Phoenix., nan",4.25,JL,34,"['Bars', 'Gay Bars', 'Nightlife']",Nu Towne Saloon,"5002 E Van Buren St
Phoenix, AZ 85008",Phoenix,AZ,business,33.451394,-111.9739754,,full_bar
-QTX2UW6PRXnuKRbqJ0soQ,ZvvTPVqChi-mQd1JV6VM5w,2010-09-08,5.0,"Awesome. Was greeted when we came in, the staff & the owner Daddy Ron was very attentive and friendly!, nan",3.22,Clint,8,"['Bars', 'Gay Bars', 'Nightlife']",Nu Towne Saloon,"5002 E Van Buren St
Phoenix, AZ 85008",Phoenix,AZ,business,33.451394,-111.9739754,,full_bar
4D4UzEOu-QG4-jkyfynhPQ,ZvvTPVqChi-mQd1JV6VM5w,2013-01-03,5.0,"Nu towne is the place that my roomies and I absolutely enjoy. The bar is right next to our apartment which is convenient. When we first went in, we didn't know what to expect. So we walk in, and we are the youngest people in the establishment. Right off the back, the owner and all of the bartenders introduce themselves and pretty much cater to us. The people in the saloon are so different and there are no cliques and it's a great place to just hang out and have a drink or 20 :) 

We continue to go to nu towne at least 1-2 times a week just to stop in and say hi or see if the decorations have changed. We love all the license plates, stickers, and the random decor that makes nu towne so original. 

Daddy Ron just lives for us as well as all the other bartenders so they will be seeing us as long as Nu towne stays in business :), nan",4.11,Preston,244,"['Bars', 'Gay Bars', 'Nightlife']",Nu Towne Saloon,"5002 E Van Buren St
Phoenix, AZ 85008",Phoenix,AZ,business,33.451394,-111.9739754,,full_bar
822zBCq_uB1-I3ncr_oAFg,ZvvTPVqChi-mQd1JV6VM5w,2014-11-11,5.0,"This place is the deal great drinks atmosphere so retro you'll think your in 1979 once again. The decor is the mummy's tomb this place is anything but dead. Employees that are old friends from long ago. This will be my favorite bar in Phoenix from now on., nan",3.96,Beau,23,"['Bars', 'Gay Bars', 'Nightlife']",Nu Towne Saloon,"5002 E Van Buren St
Phoenix, AZ 85008",Phoenix,AZ,business,33.451394,-111.9739754,,full_bar
8qe2c5uRlAkvNFvDriBm1Q,ZvvTPVqChi-mQd1JV6VM5w,2013-12-01,5.0,"The history, the people, the license plates...

I first experienced NuTowne from 1989-1991.  Imagine my surprise on returning to Phoenix in 2011 and finding NuTowne (after a drastic renovation due to a fire) remains!

Daddy Ron is still here...and the rest of the staff make sure everyone feels welcome.  Sunday and the beer bust are a legend that continues and I have taken my turn as the Burger Beyotch on several occasions.  It is my chance to take part in a continuing history of the oldest gay bar in Phoenix.

If you desire a great Sunday afternoon with a beer and a burger, chicken breast or a hot dog from the grill, NuTowne is the place to go.  No one cares if you are gay or not...just be prepared for someone to grab your a$$ if it is cute., nan",2.72,Chris,249,"['Bars', 'Gay Bars', 'Nightlife']",Nu Towne Saloon,"5002 E Van Buren St
Phoenix, AZ 85008",Phoenix,AZ,business,33.451394,-111.9739754,,full_bar
C8ZTiwa7qWoPSMIivTeSfw,ZvvTPVqChi-mQd1JV6VM5w,2008-05-05,4.0,"What a perfect location for Nu Towne Saloon. Way the hell out on Van Buren and 50th something or other street. Right next to a Honey Bear's. And then. That's it. Seriously. On this creepy, weird, strike up the Deliverance theme song, strip of Van Buren sits a gay honky tonk bar. Where, perhaps, ""squeal like a pig"" is not so frowned upon. It's basically a large shed plastered with neon beer signs, a few rainbow flags thrown in and, on Sundays, a great mixed, mostly gay crowd, all revved up for the beer bust. Great burgers and dogs, grilled right there on the patio. Friendly bartenders and beer, beer, beer and more beer. Obligatory pool tables and dart boards for those who need a break from cruisin and there's even a dance floor the size of a cocktail napkin for those who dare to make the first move. Nu Towne is my kinda town., nan",3.68,Thomas,536,"['Bars', 'Gay Bars', 'Nightlife']",Nu Towne Saloon,"5002 E Van Buren St
Phoenix, AZ 85008",Phoenix,AZ,business,33.451394,-111.9739754,,full_bar
GubdNFoDAsiwE6bWIr97cQ,ZvvTPVqChi-mQd1JV6VM5w,2008-05-05,5.0,"My review would be from 1973. Everyone was friendly and welcoming when one entered.
I am amazed this place still exists. Don't gay bars die on a regular basis?, nan",3.47,Michael,693,"['Bars', 'Gay Bars', 'Nightlife']",Nu Towne Saloon,"5002 E Van Buren St
Phoenix, AZ 85008",Phoenix,AZ,business,33.451394,-111.9739754,,full_bar
VM8ABgfaaNVIBorYFng-Rw,ZvvTPVqChi-mQd1JV6VM5w,2014-03-30,1.0,"LOTS of cock sucking, ass eating and cum swapping--in PUBLIC, on the patio during the Sunday Beer Bust. They are extremely lucky they haven't been shut down by the Phoenix/Tempe Police. No wonder everyone absolutely LOVES this place. I didn't. Tacky, distasteful and disgusting. I left shortly after arriving, after witnessing this spectacle. The owners should be ashamed of themselves. I think I have a call to make..., nan",2.58,C,12,"['Bars', 'Gay Bars', 'Nightlife']",Nu Towne Saloon,"5002 E Van Buren St
Phoenix, AZ 85008",Phoenix,AZ,business,33.451394,-111.9739754,,full_bar
Wyr_WsWFqp9X3Y14tBSGJA,ZvvTPVqChi-mQd1JV6VM5w,2015-01-09,5.0,"This is been one of the best bars in town for years. Daddy Ron really knows how to throw a party all you have to do is stop in during the holiday and see how much he invests and you can see the time he puts into decorating incredible. on Sundays is an awesome beer bus that's been going on for years everyone loves and enjoys the outdoor patio., nan",3.86,Troy,53,"['Bars', 'Gay Bars', 'Nightlife']",Nu Towne Saloon,"5002 E Van Buren St
Phoenix, AZ 85008",Phoenix,AZ,business,33.451394,-111.9739754,,full_bar
ay9H1RpjbBkaiXGxfh7LaA,ZvvTPVqChi-mQd1JV6VM5w,2013-03-26,4.0,"Any place that plays Sunshine Day by the Brady Bunch is okay in my book. Oh, and being greeted by a big ol' cock as soon as ya walk in a place... even better!, nan",3.9,Kara,489,"['Bars', 'Gay Bars', 'Nightlife']",Nu Towne Saloon,"5002 E Van Buren St
Phoenix, AZ 85008",Phoenix,AZ,business,33.451394,-111.9739754,,full_bar
